Date,Event_Description,Category,Expected_Impact,Notes_Approx_Price_Move
2014-11-27,OPEC decides not to cut production - begins price war,OPEC policy,Strong ↓,~$105 → ~$30-50 by 2016
2016-01-20,Brent reaches multi-year low after 2014-2015 glut,Supply glut / shale boom,Bottom,~$27-30 low
2016-11-30,First OPEC+ production cut agreement (~1.8 mb/d),OPEC+ cut,↑ Recovery,Rebound starts late 2016
2018-05-08,US withdraws from Iran nuclear deal + reimposes sanctions,Sanctions / geopolitics,↑ Risk premium,Supported $70-80 range
2020-03-06,Russia-Saudi Arabia oil price war begins,Price war,Sharp ↓,Leads to April crash
2020-04-12,Historic OPEC+ mega-cut (~9.7 mb/d),OPEC+ cut,Stabilisation / later ↑,Recovery from lows
2020-04-20,COVID-19 demand collapse + storage crisis (WTI briefly negative),Pandemic / demand shock,Extreme ↓,Brent ~$20-25 low
2020-05 onwards,COVID demand recovery + OPEC+ discipline,Demand rebound,Strong ↑,~$20 → $80+ by late 2021
2022-02-24,Russia invades Ukraine → supply fears + initial sanctions,Geopolitics / war,Sharp ↑ spike,~$100 → $130-139 peak March 2022
2022-03-05,Peak Brent ~$133-139 after invasion + intensified sanctions,Sanctions / risk premium,Max spike,~$139 high
2022-10-05,OPEC+ announces surprise 2 mb/d cut,OPEC+ cut,↑ Support,Prices supported in Q4 2022
2018-2019,US-China trade war impacts demand expectations,Economic / trade,↓ Pressure,Contributed to 2018-19 dips